,url,numero,tipo,lugar,descripcion,importe,fecha,procedimiento,situacion
0,https://www.gipuzkoa.eus/es/web/ogasuna/-/20886815,228,Garaje,Donostia,"Plaza de aparcamiento nº 19 en la planta de semisotano del conjunto residencial integrado por tres casas señaladas con los números cinco, siete y nueve de la calle Eguzki Eder. 13 m2. Trastero anejo número diecinueve, 7,79 m2","13.140,00 €","Primera licitación, 24/03/2021,  y segunda licitación: 26/03/2021","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Pendiente
1,https://www.gipuzkoa.eus/es/web/ogasuna/-/20649527,227,Garaje,Donostia,"Plaza de aparcamiento cerrada nº 11 en la planta de semisotano del conjunto residencial integrado por tres casas señaladas con los números cinco, siete y nueve de la calle Eguzki Eder. 22 m2","16.060,00 €","Primera licitación, 24/03/2021,  y segunda licitación: 26/03/2021","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Pendiente
2,https://www.gipuzkoa.eus/es/web/ogasuna/-/20649507,226,Garaje,Donostia,"Plaza de aparcamiento cerrada nº 4 en la planta de semisotano del conjunto residencial integrado por tres casas señaladas con los números cinco, siete y nueve de la calle Eguzki Eder. 22 m2","16.020,00 €","Primera licitación, 24/03/2021,  y segunda licitación: 26/03/2021","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Pendiente
3,https://www.gipuzkoa.eus/es/web/ogasuna/-/20830334,225,Garaje,Donostia,"Plaza de aparcamiento nº 18, Paseo de Txingurri 28, 17,5 m2","19.150,00 €","Primera licitación, 24/03/2021,  y segunda licitación: 26/03/2021","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Pendiente
4,https://www.gipuzkoa.eus/es/web/ogasuna/-/20649260,224,Garaje,Donostia,"Plaza de aparcamiento nº 17, Paseo Txingurri 28, 17,5 m2","19.150,00 €","Primera licitación, 24/03/2021,  y segunda licitación: 26/03/2021","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Pendiente
