,url,numero,tipo,lugar,descripcion,importe,fecha,procedimiento,situacion
125,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915422,100,Vivienda,Areatza-Villaro (Bizkaia),"Tres viviendas situadas en el nº 22 de la calle Bekokalea.

1. Vivienda izquierda en planta baja de 48,39 m2.

2. Vivienda derecha en planta baja de 61,86 m2.

3. Vivienda izquierda en planta primera de 64,88 m2.","57.420,00€",Primera y segunda  licitación: 14/04/2015.,"Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
126,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915396,096,Local,Irun (Gipuzkoa),"Local comercial situado en el número uno de Miguel de Ambulodi. Superficie aproximada 44,50 metros cuadrados.","36.750,00€","Primera licitación: 09/09/2014; y, segunda licitación 11/09/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
127,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915390,095,Garaje,Jaca (Huesca),Plaza de aparcamiento nº 9 en el conjunto residencial Los Glacis I. Tiene como anejo el trastero nº 9.,"10.150,00 €","Primera licitación: 09/09/2014; y, segunda licitación 11/09/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
128,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915384,094,Vivienda,Jaca (Huesca),Vivienda piso bajo letra A del conjunto residencial Los Glacis I. Tiene como anejos el garaje nº 16 y el trastero nº 16.,"124.600,00€","Primera licitación: 09/09/2014; y, segunda licitación 11/09/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
129,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915374,093,Vivienda,Urnieta (Gipuzkoa),"Vivienda, 4º - D en el número 46 de Idiazabal Kalea. Superficie aproximada: 142,65 metros cuadrados. Duplex, cuatro habitaciones y dos baños.","277.720,00€","Primera licitación: 06/05/2014; y, segunda licitación 09/05/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
130,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915368,092,Vivienda,Urnieta (Gipuzkoa),"Vivienda, 3º - B en el número 46 de Idiazabal Kalea. Superficie aproximada: 103,45 metros cuadrados. Tres habitaciones y dos baños.","247.780,00 €","Primera licitación: 06/05/2014; y, segunda licitación 09/05/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
131,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915362,090,Garaje,Urnieta  (Gipuzkoa),"Garaje número 22, en la subcomunidad de sótano Idiazabal kalea números 46 y 48. Superficie aproximada: 12,80 metros cuadrados.","12.420,00 €","Primera licitación: 06/05/2014; y, segunda licitación 09/05/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
132,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915356,089,Garaje,Urnieta (Gipuzkoa),"Garaje número 26, en la subcomunidad de sótano Idiazabal kalea números 46 y 48. Superficie aproximada: 12,50 metros cuadrados. Trastero anejo de 5,25 metros cuadrados.","12.130,00€","Primera licitación: 06/05/2014; y, segunda licitación 09/05/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
133,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915350,088,Trastero,Urnieta (Gipuzkoa),"Trastero número 42, en la subcomunidad de sótano Idiazabal kalea números 46 y 48. Superficie aproximada: 12,80 metros cuadrados.","8.630,00€","Primera licitación: 06/05/2014; y, segunda licitación 09/05/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
134,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915337,087,Trastero,Urnieta (Gipuzkoa),"Trastero número 38, en la subcomunidad de sótano Idiazabal kalea números 46 y 48. Superficie aproximada: 4 metros cuadrados.","3.150,00 €","Primera licitación: 06/05/2014; y, segunda licitación 09/05/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
135,https://www.gipuzkoa.eus/es/web/ogasuna/-/3915329,086,Garaje,Donostia (Gipuzkoa),"Garaje, en  Marrutxipi, 76, edificio ""ETXE-TXURI"". Superficie aproximada: 14 metros cuadrados.","26.230,00€","Primera licitación: 06/05/2014; y, segunda licitación 09/05/2014.","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Suspendida por pago
